whole name,Name,Address,Price Level,Types,Category,Website,Phone Number,Rating,Review Count,Opening Hours,Email,POS System,Loyalty Programs,Reservation Platform
Zuni Café,Zuni Café,"1658 Market St, San Francisco, CA 94102, USA",3.0,"cafe, bar, restaurant, point_of_interest, food, establishment",BB3,http://www.zunicafe.com/,(415) 552-2522,4.4,2332.0,"Monday: Closed, Tuesday: 5:00 – 9:30 PM, Wednesday: 5:00 – 9:30 PM, Thursday: 5:00 – 9:30 PM, Friday: 11:00 AM – 4:00 PM, 5:00 – 9:30 PM, Saturday: 11:00 AM – 4:00 PM, 5:00 – 9:30 PM, Sunday: 11:00 AM – 4:00 PM, 5:00 – 9:30 PM",,,,
Rich Table,Rich Table,"199 Gough St, San Francisco, CA 94102, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://richtablesf.com/,(415) 355-9085,4.7,1372.0,"Monday: Closed, Tuesday: 5:00 – 10:30 PM, Wednesday: 5:00 – 10:30 PM, Thursday: 5:00 – 10:30 PM, Friday: 5:00 – 10:30 PM, Saturday: 5:00 – 10:30 PM, Sunday: Closed",info@richtablesf.com,Toast,,
Monsieur Benjamin,Monsieur Benjamin,"451 Gough St, San Francisco, CA 94102, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.monsieurbenjamin.com/,,4.4,980.0,,info@mbenjaminsf.comPRIVACY,,,
Monsieur Benjamin,Monsieur Benjamin,"451 Gough St, San Francisco, CA 94102, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.monsieurbenjamin.com/,,4.4,980.0,,info@mbenjaminsf.com,,,
Brenda's French Soul Food,Brenda's French Soul Food,"652 Polk St, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.frenchsoulfood.com/,(415) 345-8100,4.5,5821.0,"Monday: 8:00 AM – 8:00 PM, Tuesday: 8:00 AM – 3:00 PM, Wednesday: 8:00 AM – 8:00 PM, Thursday: 8:00 AM – 8:00 PM, Friday: 8:00 AM – 8:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: 8:00 AM – 8:00 PM",brendas@frenchsoulfood.com,,,
Brenda's French Soul Food,Brenda's French Soul Food,"652 Polk St, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.frenchsoulfood.com/,(415) 345-8100,4.5,5821.0,"Monday: 8:00 AM – 8:00 PM, Tuesday: 8:00 AM – 3:00 PM, Wednesday: 8:00 AM – 8:00 PM, Thursday: 8:00 AM – 8:00 PM, Friday: 8:00 AM – 8:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: 8:00 AM – 8:00 PM",andrew@frenchsoulfood.com,,,
Brenda's French Soul Food,Brenda's French Soul Food,"652 Polk St, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.frenchsoulfood.com/,(415) 345-8100,4.5,5821.0,"Monday: 8:00 AM – 8:00 PM, Tuesday: 8:00 AM – 3:00 PM, Wednesday: 8:00 AM – 8:00 PM, Thursday: 8:00 AM – 8:00 PM, Friday: 8:00 AM – 8:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: 8:00 AM – 8:00 PM",cecilia@frenchsoulfood.com,,,
Lers Ros Thai (Hayes),Lers Ros Thai,"307 Hayes St, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://lersros.com/,(415) 874-9661,4.2,802.0,"Monday: 10:30 AM – 2:00 PM, 5:00 – 10:00 PM, Tuesday: 10:30 AM – 2:00 PM, 5:00 – 10:00 PM, Wednesday: 10:30 AM – 2:00 PM, 5:00 – 10:00 PM, Thursday: 10:30 AM – 2:00 PM, 5:00 – 10:00 PM, Friday: 10:30 AM – 2:00 PM, 5:00 – 10:00 PM, Saturday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM, Sunday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM",,,,
Absinthe Brasserie & Bar,Absinthe Brasserie & Bar,"398 Hayes St, San Francisco, CA 94102, USA",3.0,"bar, restaurant, food, point_of_interest, establishment",BB3,http://www.absinthe.com/,(415) 551-1590,4.4,1712.0,"Monday: Closed, Tuesday: Closed, Wednesday: 11:30 AM – 10:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:00 AM – 9:00 PM",user@domain.com,,,
Absinthe Brasserie & Bar,Absinthe Brasserie & Bar,"398 Hayes St, San Francisco, CA 94102, USA",3.0,"bar, restaurant, food, point_of_interest, establishment",BB3,http://www.absinthe.com/,(415) 551-1590,4.4,1712.0,"Monday: Closed, Tuesday: Closed, Wednesday: 11:30 AM – 10:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:00 AM – 9:00 PM",talk@absinthe.com,,,
Absinthe Brasserie & Bar,Absinthe Brasserie & Bar,"398 Hayes St, San Francisco, CA 94102, USA",3.0,"bar, restaurant, food, point_of_interest, establishment",BB3,http://www.absinthe.com/,(415) 551-1590,4.4,1712.0,"Monday: Closed, Tuesday: Closed, Wednesday: 11:30 AM – 10:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:00 AM – 9:00 PM",CACONTACT415-551-1590talk@absinthe.compress,,,
Absinthe Brasserie & Bar,Absinthe Brasserie & Bar,"398 Hayes St, San Francisco, CA 94102, USA",3.0,"bar, restaurant, food, point_of_interest, establishment",BB3,http://www.absinthe.com/,(415) 551-1590,4.4,1712.0,"Monday: Closed, Tuesday: Closed, Wednesday: 11:30 AM – 10:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:00 AM – 9:00 PM",press@absinthegroup.com,,,
a Mano,a Mano,"450 Hayes St, San Francisco, CA 94102, USA",2.0,"restaurant, bar, food, point_of_interest, establishment",BB3,https://amanosf.com/,(415) 506-7401,4.4,2056.0,"Monday: 11:30 AM – 9:30 PM, Tuesday: 11:30 AM – 9:30 PM, Wednesday: 11:30 AM – 9:30 PM, Thursday: 11:30 AM – 9:30 PM, Friday: 11:30 AM – 10:30 PM, Saturday: 11:30 AM – 10:30 PM, Sunday: 11:30 AM – 9:00 PM",info@amanosf.com,Toast,inKind,
Arlequin,Arlequin Wine Merchant,"372 Hayes St, San Francisco, CA 94102, USA",2.0,"liquor_store, bar, store, food, point_of_interest, establishment",BB3,http://www.arlequinwinemerchant.com/,(415) 863-1104,4.4,121.0,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 11:30 AM – 9:00 PM, Thursday: 11:30 AM – 9:00 PM, Friday: 11:30 AM – 9:00 PM, Saturday: 11:30 AM – 9:00 PM, Sunday: 11:30 AM – 9:00 PM",,,,
Nojo Ramen Tavern,Nojo Ramen Tavern,"231 Franklin St, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,https://nojosframen.com/,(415) 896-4587,4.5,1270.0,"Monday: 5:00 – 9:00 PM, Tuesday: 5:00 – 9:00 PM, Wednesday: 5:00 – 9:00 PM, Thursday: 5:00 – 9:00 PM, Friday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM, Saturday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM, Sunday: 11:30 AM – 2:30 PM, 4:00 – 8:00 PM",,,,
Souvla (Hayes),Souvla,"517 Hayes St, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,https://www.souvla.com/location/hayes-valley/,(415) 570-6500,4.5,2117.0,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",hello@souvla.com,,,
Souvla (Hayes),Souvla,"517 Hayes St, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,https://www.souvla.com/location/hayes-valley/,(415) 570-6500,4.5,2117.0,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",20kaity@kcashpr.com,,,
Dobbs Ferry,Dobbs Ferry,"Dobbs Ferry, NY, USA",,"locality, political",Not a restaurant,,,,,,,,,
Papito Hayes,Papito Hayes,"425 Hayes St A, San Francisco, CA 94102, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.papitohayessf.com/,(415) 554-0541,4.4,1182.0,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 11:30 AM – 9:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 9:00 PM",info@papitohayessf.com,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",circadm@uci.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",circ@library.ucsb.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",give-library@berkeley.edu,,,
